concept,delta_e,method,title,Approach,type,Segment
quiet_forest,12.97439107,query-SAM,Q-SAM,Query,context,SAM
quiet_forest,12.97439107,queryclipart-SAM,QC-SAM,Query,context,SAM
quiet_forest,41.11645377,clipart-bg_remove,AC-BG,AI,context,BG Remove
quiet_forest,14.74199946,photo-bg_remove,AP-BG,AI,context,BG Remove
quiet_forest,12.97439107,query-bg_remove,Q-BG,Query,context,BG Remove
quiet_forest,21.04445656,queryclipart-bg_remove,QC-BG,Query,context,BG Remove
sky,5.310469518,clipart-SAM,AC-SAM,AI,environment,SAM
sky,24.52809943,photo-SAM,AP-SAM,AI,environment,SAM
sky,22.88299061,query-SAM,Q-SAM,Query,environment,SAM
sky,22.88299061,queryclipart-SAM,QC-SAM,Query,environment,SAM
sky,55.17525904,clipart-bg_remove,AC-BG,AI,environment,BG Remove
sky,58.58838381,photo-bg_remove,AP-BG,AI,environment,BG Remove
sky,54.77202678,query-bg_remove,Q-BG,Query,environment,BG Remove
sky,23.67261656,queryclipart-bg_remove,QC-BG,Query,environment,BG Remove
tangerine,4.774278833,clipart-SAM,AC-SAM,AI,base,SAM
tangerine,15.91782413,photo-SAM,AP-SAM,AI,base,SAM
tangerine,1.961381389,query-SAM,Q-SAM,Query,base,SAM
tangerine,1.961381389,queryclipart-SAM,QC-SAM,Query,base,SAM
tangerine,4.800114092,clipart-bg_remove,AC-BG,AI,base,BG Remove
tangerine,2.285557656,photo-bg_remove,AP-BG,AI,base,BG Remove
tangerine,2.374894751,query-bg_remove,Q-BG,Query,base,BG Remove
tangerine,5.851820904,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
tiger,0,clipart-SAM,AC-SAM,AI,base,SAM
tiger,42.06282937,photo-SAM,AP-SAM,AI,base,SAM
tiger,23.41773778,query-SAM,Q-SAM,Query,base,SAM
tiger,9.354304349,queryclipart-SAM,QC-SAM,Query,base,SAM
tiger,0.405309818,clipart-bg_remove,AC-BG,AI,base,BG Remove
tiger,17.09573627,photo-bg_remove,AP-BG,AI,base,BG Remove
tiger,20.43704648,query-bg_remove,Q-BG,Query,base,BG Remove
tiger,2.786196543,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
tomato,4.525882204,clipart-SAM,AC-SAM,AI,base,SAM
tomato,21.93168405,photo-SAM,AP-SAM,AI,base,SAM
tomato,8.767013891,query-SAM,Q-SAM,Query,base,SAM
tomato,7.017137541,queryclipart-SAM,QC-SAM,Query,base,SAM
tomato,4.82544882,clipart-bg_remove,AC-BG,AI,base,BG Remove
tomato,21.93168405,photo-bg_remove,AP-BG,AI,base,BG Remove
tomato,7.210982552,query-bg_remove,Q-BG,Query,base,BG Remove
tomato,7.017137541,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
