concept,style,color_0,count_0,color_1,count_1,color_2,count_2,color_3,count_3,color_4,count_4,color_dominant,method
tiger,clipart,"[27, 26, 52]",19091,"[18, 18, 171]",40,"[123, 74, 35]",24196,"[114, 112, 120]",22505,"[212, 208, 202]",31839,"[240, 143, 16]",SAM
penguin,clipart,"[42, 15, 118]",31,"[119, 118, 121]",3308,"[228, 100, 52]",3077,"[239, 190, 63]",2262,"[237, 235, 223]",11188,"[8, 24, 56]",SAM
lion,clipart,"[41, 8, 158]",10,"[91, 41, 16]",3523,"[240, 154, 15]",6583,"[242, 184, 28]",4020,"[224, 215, 186]",2176,"[149, 57, 9]",SAM
mountains,clipart,"[37, 30, 146]",55,"[73, 113, 131]",31054,"[86, 120, 97]",11436,"[111, 139, 84]",4103,"[200, 214, 220]",11291,"[48, 80, 111]",SAM
lake,clipart,"[33, 24, 238]",14,"[45, 132, 121]",11031,"[33, 134, 168]",26449,"[141, 177, 64]",1720,"[82, 212, 233]",28519,"[46, 179, 229]",SAM
flamingo,clipart,"[133, 70, 241]",22,"[233, 90, 139]",2647,"[241, 156, 167]",5079,"[191, 198, 193]",566,"[91, 229, 104]",17,"[245, 74, 91]",SAM
grassland,clipart,"[38, 115, 22]",8466,"[49, 159, 16]",20212,"[69, 203, 10]",62762,"[120, 201, 21]",35963,"[138, 201, 63]",14830,"[144, 239, 16]",SAM
ocean,clipart,"[7, 8, 248]",4,"[19, 92, 149]",15385,"[24, 132, 173]",25724,"[50, 221, 218]",8785,"[147, 215, 222]",3227,"[15, 176, 208]",SAM
elephant,clipart,"[135, 59, 198]",13,"[104, 105, 112]",28536,"[227, 130, 132]",2745,"[226, 220, 134]",686,"[219, 237, 33]",27,"[151, 153, 152]",SAM
quiet_forest,clipart,"[92, 47, 42]",19834,"[160, 71, 40]",15451,"[60, 140, 85]",23801,"[109, 179, 56]",13160,"[162, 233, 26]",2024,"[21, 56, 40]",SAM
peacock,clipart,"[30, 42, 97]",2547,"[11, 34, 233]",1190,"[20, 63, 183]",2206,"[48, 154, 54]",9473,"[195, 171, 133]",9465,"[79, 112, 47]",SAM
clear_sky,clipart,"[7, 8, 248]",1,"[85, 181, 247]",19910,"[214, 217, 248]",8203,"[192, 242, 248]",45386,"[235, 245, 244]",9815,"[144, 207, 240]",SAM
glacier,clipart,"[15, 65, 120]",10277,"[214, 9, 9]",4,"[31, 129, 206]",10390,"[59, 169, 223]",25747,"[212, 240, 247]",8016,"[146, 219, 246]",SAM
sky,clipart,"[44, 105, 198]",11357,"[65, 141, 201]",24862,"[123, 208, 219]",45388,"[206, 216, 164]",2899,"[192, 226, 235]",32971,"[89, 180, 225]",SAM
desert,clipart,"[170, 88, 50]",10079,"[181, 110, 209]",10,"[222, 141, 70]",27598,"[241, 145, 53]",26196,"[179, 201, 207]",1537,"[246, 185, 107]",SAM
forest,clipart,"[98, 57, 41]",16128,"[151, 75, 39]",9255,"[42, 123, 62]",30665,"[61, 160, 53]",20483,"[110, 201, 37]",11744,"[16, 80, 47]",SAM
lively_forest,clipart,"[60, 32, 137]",71,"[172, 85, 42]",8126,"[60, 132, 82]",21852,"[190, 173, 47]",5358,"[226, 230, 220]",5378,"[167, 218, 27]",SAM
clear_sea,clipart,"[12, 107, 194]",8575,"[20, 137, 200]",25513,"[19, 172, 225]",47199,"[88, 237, 242]",40785,"[236, 231, 207]",2484,"[15, 208, 239]",SAM
polluted_sky,clipart,"[8, 7, 247]",6,"[71, 91, 96]",25185,"[113, 126, 142]",31232,"[152, 201, 182]",5650,"[191, 199, 200]",21208,"[112, 144, 144]",SAM
polluted_sea,clipart,"[7, 8, 248]",1,"[48, 90, 82]",101262,"[60, 135, 110]",53678,"[154, 179, 154]",25124,"[97, 190, 140]",34355,"[25, 45, 61]",SAM
tangerine,query,"[78, 96, 100]",1208,"[140, 80, 40]",2152,"[142, 135, 63]",2289,"[225, 103, 22]",5732,"[231, 212, 188]",2680,"[240, 143, 16]",SAM
olive,query,"[84, 52, 199]",21,"[125, 88, 36]",3779,"[127, 130, 57]",8391,"[179, 173, 63]",6200,"[181, 175, 153]",4995,"[80, 80, 16]",SAM
grape,query,"[93, 14, 94]",385,"[8, 7, 247]",3,"[147, 20, 161]",551,"[127, 131, 45]",3729,"[158, 172, 35]",5759,"[204, 205, 104]",SAM
blueberry,query,"[71, 88, 185]",829,"[80, 98, 151]",4286,"[106, 115, 103]",1334,"[123, 170, 48]",740,"[148, 166, 192]",6699,"[80, 80, 112]",SAM
fox,query,"[97, 90, 77]",4817,"[124, 90, 58]",4963,"[187, 118, 42]",4496,"[180, 178, 176]",3531,"[207, 179, 144]",4475,"[176, 144, 112]",SAM
